auction_house_id,auction_house_name,rate,type,min_fee,fixed_fee,currency
3862,Bastionen,5.00%,Percent,0,0,SEK
3900,Carlsson Ring Auktioner,2.00%,Percent,0,0,SEK
3031,Kanonauktioner,4.00%,Percent,0,0,SEK
3601,Karl-Johan Auktioner,2.50%,Percent,0,0,SEK
3687,Olséns Auktioner,1.50%,Percent,0,0,SEK
3723,Snapphane Auktioner,4.00%,Percent,0,0,SEK
3915,Aros frimärken,,Fixed,0,"4,000",SEK
3952,Auktionen på Bruket,,Fixed,0,"4,000",SEK
3902,Conap Auktioner,,Fixed,0,"4,000",SEK
3898,Dahlströms Rare Prints,,Fixed,0,"2,500",SEK
230,Eek Auktionsforretning AS,,Fixed,0,"8,000",NOK
90,Ingelmark,,Fixed,0,"5,200",SEK
3768,Jämtloppan,,Fixed,0,"4,000",SEK
3756,Karlssons Auktioner,,Fixed,0,"4,000",SEK
2949,Knutson & Bloom,,Fixed,0,"6,500",SEK
3849,Laholms HAP,,Fixed,0,"4,000",SEK
107,LP-Foto,,Fixed,0,"12,000",SEK
3925,Mälardalen Auktioner,,Fixed,0,"5,000",SEK
3916,Östlandet,,Fixed,0,"5,000",NOK
3950,Ronald McDonald hus,,Fixed,0,0,SEK
3764,Sølvesen Myhre Berntsen Antikviteter AS,,Fixed,0,"4,000",SEK
3923,Store Mæla Gård Antikk,,Fixed,0,"5,000",NOK
3663,Ystads auktioner,,Fixed,0,"10,000",SEK
44,Dalarnas Auktionsbyrå,2.00%,Hybrid,"10,000",0,SEK
53,Dyrgripen,3.00%,Hybrid,"8,000",0,SEK
3922,Gun garage,3.00%,Hybrid,400,0,EUR
2659,Myntauktioner i Sverige AB,0.75%,Hybrid,"2,000",0,SEK
72,Nya Hallands Auktionsverk,3.00%,Hybrid,"10,000",0,SEK
125,Probus,1.00%,Hybrid,"4,000",0,SEK
3865,Rekomo,4.00%,Hybrid,"10,000",0,SEK
283,Södersens Auktioner AB,2.00%,Hybrid,"10,000",0,SEK
3904,Sydklippet,4.00%,Hybrid,"4,000",0,SEK
3722,Upplands Auktionsverk,4.00%,Hybrid,"10,000",0,SEK
3869,Wunderkammer,4.00%,Hybrid,"4,000",0,SEK
